depth2,depth3,polywidth2,polywidth3,resonance2,resonance3,q_factor2,q_factor3
2,3,0.3,0.3,327.6189,256.8827,10.85871,11.36376
2,3,0.4,0.4,380.1433,297.4611,12.5996,13.15883
2,3,0.5,0.5,427.0269,333.5187,14.15353,14.75392
2,3,0.6,0.6,470.0403,366.2007,15.57918,16.19967
2,3,0.7,0.7,510.0802,396.684,16.90627,17.54817
2,3,0.8,0.8,547.7751,425.3068,18.15565,18.81436
2,3,0.9,0.9,583.5546,452.178,19.34153,20.00306
2,3,1,1,617.868,478.0435,20.47883,21.14728
2,3,0.1,0.1,209.8133,166.2824,7.393418,7.523248
2,3,0.2,0.2,298.1561,235.8681,10.50645,10.67156
2,3,0.3,0.3,366.9634,289.5906,12.93108,13.10217
2,3,0.4,0.4,425.8573,335.4134,15.00639,15.17537
2,3,0.5,0.5,478.334,375.9422,16.85557,17.00905
2,3,0.6,0.6,526.465,413.1023,18.55161,18.69031
2,3,0.7,0.7,571.2478,447.3352,20.12967,20.23914
2,3,0.8,0.8,613.5312,479.4448,21.61966,21.6919
2,3,0.9,0.9,653.6718,509.838,23.03413,23.067
2,3,1,1,692.0107,538.8104,24.38512,24.37783
2,3,0.1,0.1,235.7853,188.382,8.602998,8.574258
2,3,0.2,0.2,335.1164,267.1241,12.22725,12.15823
2,3,0.3,0.3,412.4219,328.0393,15.04786,14.9308
2,3,0.4,0.4,478.5742,379.8137,17.46153,17.28732
2,3,0.5,0.5,537.6199,425.8038,19.61591,19.38058
2,3,0.6,0.6,591.6526,467.7273,21.58737,21.28873
2,3,0.7,0.7,642.0607,506.6025,23.42659,23.05815
2,3,0.8,0.8,689.4996,543.0919,25.15747,24.71898
2,3,0.9,0.9,734.5055,577.655,26.79959,26.29213
2,3,1,1,777.6617,610.233,28.37421,27.77492
2,3,0.1,0.1,266.0782,214.417,9.850067,9.684221
2,3,0.2,0.2,378.1439,304.1205,13.99868,13.73571
2,3,0.3,0.3,465.4514,373.5703,17.23075,16.87243
2,3,0.4,0.4,540.062,432.3547,19.99279,19.52745
2,3,0.5,0.5,606.6294,484.8352,22.45708,21.89775
2,3,0.6,0.6,667.6898,532.7136,24.7175,24.0602
2,3,0.7,0.7,724.4857,576.7511,26.82005,26.04917
2,3,0.8,0.8,778.1118,618.0339,28.80526,27.91372
2,3,0.9,0.9,828.9941,657.5437,30.68889,29.69819
2,3,1,1,877.5599,694.7787,32.48677,31.37993
2,3,0.1,0.1,301.7885,245.6191,11.14839,10.87736
2,3,0.2,0.2,428.974,348.4833,15.84676,15.43275
2,3,0.3,0.3,527.9749,427.8843,19.50396,18.94906
2,3,0.4,0.4,612.5462,495.3383,22.62811,21.93629
2,3,0.5,0.5,688.1557,555.6385,25.42121,24.60671
2,3,0.6,0.6,757.3307,610.2482,27.97661,27.02513
2,3,0.7,0.7,821.8687,660.8628,30.36071,29.26662
2,3,0.8,0.8,882.5775,708.3479,32.60336,31.36952
2,3,0.9,0.9,940.1361,753.3041,34.72963,33.36043
2,3,1,1,995.6135,796.1678,36.77903,35.25867
2,3,0.1,0.1,344.3902,284.478,12.51394,12.21832
2,3,0.2,0.2,489.4935,403.4506,17.78648,17.32819
2,3,0.3,0.3,602.4033,495.131,21.88923,21.26586
2,3,0.4,0.4,699.0194,573.3665,25.39992,24.62607
2,3,0.5,0.5,785.2096,642.8941,28.53177,27.61228
2,3,0.6,0.6,864.2787,706.3041,31.40487,30.33574
2,3,0.7,0.7,937.7972,764.4972,34.07627,32.83513
2,3,0.8,0.8,1007.2126,821.0635,36.598585,35.26465
2,3,0.9,0.9,1073.0326,873.4666,38.990251,37.51536
2,3,1,1,1136.1611,922.6988,41.28412,39.62988
